"","LCT_shared","gamma_error","all_species","mean_biodensBS","max_biodensBS","max_prop_biodensBS","mean_read_eDNA","max_read_eDNA","prev_bs","prev_eDNA","grp"
"43","Hypomesus pretiosus","both","Hypomesus pretiosus",0.00661568780506876,0.162488928658758,0.0461898199327198,0.521739130434783,24,6,1,"BS_m"
"44","Icelinus borealis","eDNA only","Icelinus borealis",0,0,0,3.80434782608696,137,0,2,NA
"45","Icichthys lockingtoni","eDNA only","Icichthys lockingtoni",0,0,0,10.2173913043478,378,0,2,NA
"46","Icosteus aenigmaticus","eDNA only","Icosteus aenigmaticus",0,0,0,23.3478260869565,453,0,7,NA
"47","Jordania zonope","both","Jordania zonope",3.87545863783559e-06,0.000178271097340437,4.37786308344497e-05,94.7826086956522,1179,1,16,"eDNA_m"
"48","Lepidogobius lepidus","both","Lepidogobius lepidus",0.000118843185018151,0.00546678651083495,0.000536798250254722,14,274,1,4,"eDNA_m"
"49","Lepidopsetta1","both","Lepidopsetta bilineata, Lepidopsetta polyxystra",0.00019347854121935,0.00530651879191068,0.00346116541946553,37.3913043478261,277,2,17,"eDNA_m"
"50","Leptocottus armatus","both","Leptocottus armatus",1.26420088167095,7.58413633152062,0.769910602366733,1935.60869565217,10863,34,38,"both_m"
"51","Liparis cyclopus","eDNA only","Liparis cyclopus",0,0,0,60.8260869565217,1449,0,7,NA
"52","Liparis florae","eDNA only","Liparis florae",0,0,0,115.130434782609,766,0,17,NA
"53","Liparis fucensis","eDNA only","Liparis fucensis",0,0,0,0.934782608695652,35,0,2,NA
"54","Liparis mucosus","eDNA only","Liparis mucosus",0,0,0,21.804347826087,186,0,11,NA
"55","Liparis pulchellus","eDNA only","Liparis pulchellus",0,0,0,105.891304347826,4871,0,1,NA
"56","Lumpenus sagitta","both","Lumpenus sagitta",0.0113121017944245,0.436466122227656,0.151464521142428,44,1314,5,4,"NP"
"57","Lyopsetta exilis","eDNA only","Lyopsetta exilis",0,0,0,9.84782608695652,422,0,2,NA
"58","Merluccius productus","eDNA only","Merluccius productus",0,0,0,2.3695652173913,46,0,11,NA
"59","Microgadus proximus","both","Microgadus proximus",0.000823407554173496,0.0309864891301248,0.00140066562773145,20.5652173913043,339,2,6,"eDNA_m"
"60","Microstomus pacificus","eDNA only","Microstomus pacificus",0,0,0,41.3478260869565,479,0,9,NA
"61","Mola mola","eDNA only","Mola mola",0,0,0,18.6521739130435,307,0,5,NA
"62","Myoxocephalus1","both","Myoxocephalus polyacanthocephalus, Myoxocephalus stelleri",0.0499807220351675,1.25137251244839,0.198365124469033,235.478260869565,3515,11,20,"NP"
"63","Nautichthys oculofasciatus","eDNA only","Nautichthys oculofasciatus",0,0,0,9.47826086956522,399,0,2,NA
"64","Odontopyxis trispinosa","both","Odontopyxis trispinosa",0.000130291932950753,0.00599342891573463,0.000682160374910353,41.0869565217391,1538,1,5,"eDNA_m"
"65","Oligocottus rimensis","BS only","Oligocottus rimensis",7.83142082734878e-05,0.00216665786691575,0.00111472424016538,0,0,2,0,NA
"66","Oligocottus1","both","Oligocottus maculosus, Oligocottus snyderi",0.120037274923518,2.81076545750615,0.466119659281947,439.086956521739,3419,29,38,"both_m"
"67","Oncorhynchus clarkii","eDNA only","Oncorhynchus clarkii",0,0,0,40.3478260869565,849,0,11,NA
"68","Oncorhynchus gorbuscha","eDNA only","Oncorhynchus gorbuscha",0,0,0,2506.52173913043,46153,0,41,NA
"69","Oncorhynchus keta","eDNA only","Oncorhynchus keta",0,0,0,186.304347826087,2607,0,19,NA
"70","Oncorhynchus kisutch","both","Oncorhynchus kisutch",0.0303174743547145,1.0758748795984,0.0725305525440963,1112.80434782609,26018,4,34,"eDNA_m"
"71","Oncorhynchus mykiss","eDNA only","Oncorhynchus mykiss",0,0,0,4.32608695652174,90,0,5,NA
"72","Oncorhynchus nerka","eDNA only","Oncorhynchus nerka",0,0,0,16.2826086956522,340,0,4,NA
"73","Oncorhynchus tshawytscha","both","Oncorhynchus tshawytscha",0.010601252391075,0.487657609989451,0.169229231358275,769.108695652174,10999,1,39,"eDNA_m"
"74","Ophiodon elongatus","both","Ophiodon elongatus",0.129396228765878,4.09935164306601,0.466580198587459,484.45652173913,3437,19,30,"NP"
"75","Orthonopias triacis","eDNA only","Orthonopias triacis",0,0,0,6.10869565217391,152,0,6,NA
"76","Oxylebius pictus","both","Oxylebius pictus",2.02798433061062e-05,0.000932872792080887,0.000418759945736991,76.195652173913,926,1,16,"eDNA_m"
"77","Pallasina barbata","BS only","Pallasina barbata",0.000717283095014577,0.0216330208567988,0.00400146611970114,0,0,3,0,NA
"78","Pholis1","both","Pholis clemensi, Pholis ornata",0.0525287731847738,0.399981608364294,0.153816064699135,1839.80434782609,8321,22,41,"NP"
"79","Phytichthys chirus","eDNA only","Phytichthys chirus",0,0,0,79.5434782608696,816,0,14,NA
"80","Platichthys stellatus","both","Platichthys stellatus",0.741509166991903,21.5659814387185,0.779315664608717,580.217391304348,3456,16,37,"eDNA_m"
"81","Pleuronectidae1","both","Isopsetta isolepis, Parophrys vetulus, Psettichthys melanostictus",0.366951643756513,1.6765009921893,0.623373256155145,1426.76086956522,9333,41,45,"both_m"
"82","Pleuronichthys coenosus","both","Pleuronichthys coenosus",0.0438415204181267,0.866355342338106,0.147970750986227,140.45652173913,1479,11,21,"eDNA_m"
"83","Polypera greeni","eDNA only","Polypera greeni",0,0,0,47.4782608695652,2121,0,2,NA
"84","Prosopium williamsoni","eDNA only","Prosopium williamsoni",0,0,0,5.5,143,0,2,NA
"85","Rhacochilus vacca","both","Rhacochilus vacca",0.0637587687635222,2.81780413318303,0.140586982689365,349.086956521739,4275,2,29,"eDNA_m"
"86","Rhamphocottus richardsonii","eDNA only","Rhamphocottus richardsonii",0,0,0,12.2173913043478,304,0,3,NA
"87","Rhinogobiops nicholsii","BS only","Rhinogobiops nicholsii",0.0028241636533583,0.0429964213083648,0.0590420893842778,0,0,7,0,NA
"88","Rimicola muscarum","both","Rimicola muscarum",0.000432597007150183,0.0113967758363631,0.00142893459734495,37.8260869565217,645,3,10,"eDNA_m"
"89","Ronquilus jordani","eDNA only","Ronquilus jordani",0,0,0,3.80434782608696,175,0,1,NA
"90","Salvelinus malma","both","Salvelinus malma",0.0684986503905791,2.93452895162882,0.0556084149276755,76.5,1008,4,8,"NP"
"91","Scomber japonicus","eDNA only","Scomber japonicus",0,0,0,11.4347826086957,526,0,1,NA
"92","Scorpaenichthys marmoratus","both","Scorpaenichthys marmoratus",0.0199144169527566,0.326153068369774,0.0731774862435016,172.630434782609,1999,18,26,"NP"
"93","Sebastes entomelas","eDNA only","Sebastes entomelas",0,0,0,125.739130434783,1236,0,15,NA
"94","Sebastes mystinus","eDNA only","Sebastes mystinus",0,0,0,0.347826086956522,16,0,1,NA
"95","Sebastes nebulosus","eDNA only","Sebastes nebulosus",0,0,0,75.7608695652174,961,0,14,NA
"96","Sebastes nigrocinctus","eDNA only","Sebastes nigrocinctus",0,0,0,2.78260869565217,128,0,1,NA
"97","Sebastes paucispinis","BS only","Sebastes paucispinis",1.20142042498231e-07,5.52653395491862e-06,1.02224458277794e-06,0,0,1,0,NA
"98","Sebastes1","both","Sebastes caurinus, Sebastes maliger",0.196262315677204,8.0522798220433,0.463750335784299,684.086956521739,3274,9,33,"eDNA_m"
"99","Sebastes2","both","Sebastes - alutianus, alutus, elongatus, flavidus, melanistictus, melanops,  ruberrimus",0.0967350733780795,2.00430113840016,0.461501484421545,2675.26086956522,10264,7,46,"eDNA_m"
"100","Synchirus gilli","both","Synchirus gilli",0.00127587900884582,0.020298389069425,0.00293440091319193,98.8913043478261,938,10,15,"NP"
"101","Syngnathus leptorhynchus","both","Syngnathus leptorhynchus",0.102967208741129,0.776999149449291,0.150689471311435,60.0217391304348,391,33,21,"NP"
"102","Trichodon trichodon","both","Trichodon trichodon",0.000148660675433657,0.0068383910699482,0.00108898529170349,72.7391304347826,3210,1,3,"eDNA_m"
"103","Xiphister1","eDNA only","Xiphister atropurpureus, Xiphister mucosus",0,0,0,1015.15217391304,6411,0,39,NA
