site,year,month,day,replicate,rep.loc,set.time,net.size,success,species,stage,abundance,num.est,notes,entered,checked
koe1,2014,6,15,2,n/a,940,11,n/a,sand,3,436,375,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,unfl,3,55,55,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,stfl,3,4,n/a,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,dova,3,4,n/a,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,enso,3,33,n/a,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,saso,3,8,n/a,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,pasa,3,16,n/a,,carolyn,midoli
koe1,2014,6,15,2,n/a,940,11,n/a,unsa,3,1,n/a,,carolyn,midoli
koe2,2014,6,15,1,n/a,1335,11,n/a,unsa,3,328,n/a,,carolyn,midoli
koe2,2014,6,15,1,n/a,1335,11,n/a,sand,3,4,n/a,,carolyn,midoli
koe2,2014,6,15,2,n/a,1350,11,n/a,sand,3,638,n/a,,carolyn,midoli
koe2,2014,6,15,2,n/a,1350,11,n/a,dova,3,16,n/a,,carolyn,midoli
koe2,2014,6,15,2,n/a,1350,11,n/a,unsa,3,94,n/a,,carolyn,midoli
koe2,2014,6,15,2,n/a,1350,11,n/a,stee,3,1,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,stsc,3,6,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,bapi,3,61,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,ling,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,enso,3,11,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,tisc,3,3,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,tube,3,2,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,pasa,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,sisc,3,3,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,tomc,3,2,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,bago,3,1,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,crgu,3,14,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,kegr,1,1,n/a,,carolyn,midoli
hdo,2014,6,16,1,n/a,930,11,n/a,blgo,3,1,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,bapi,3,90,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,ling,3,5,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,stsc,3,32,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,stfl,3,2,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,sisc,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,pasa,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,enso,3,14,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,tisc,3,3,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,tomc,3,1,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,blgo,3,2,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,crgu,3,3,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,grsc,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,bago,3,4,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,pasc,3,1,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,kegr,1,5,n/a,,carolyn,midoli
hdo,2014,6,16,2,n/a,945,11,n/a,snpr,3,1,n/a,,carolyn,midoli
ssp,2014,7,2,1,300,932,11,2,sand,1,44,n/a,,carolyn,midoli
ssp,2014,7,2,1,300,932,11,2,sand,2,7,n/a,,carolyn,midoli
ssp,2014,7,2,1,300,932,11,2,saso,3,51,n/a,,carolyn,midoli
ssp,2014,7,2,1,300,932,11,2,enso,3,27,n/a,,carolyn,midoli
ssp,2014,7,2,2,200,950,11,2,sand,1,10,n/a,,carolyn,midoli
ssp,2014,7,2,2,200,950,11,2,saso,3,30,n/a,,carolyn,midoli
ssp,2014,7,2,2,200,950,11,2,enso,3,13,n/a,,carolyn,midoli
hab4,2014,7,3,1,75,1035,11,1,stsc,3,9,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,enso,3,2,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,stfl,3,1,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,tisc,3,15,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,pink,3,4,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,sisc,3,1,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,grsc,3,2,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,thst,3,1,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,unla,3,2,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,snpr,3,2,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,crgu,3,1,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,pasa,3,1,n/a,,midoli,midoli
hab4,2014,7,3,1,75,1035,11,1,unsc,1,2,n/a,,midoli,midoli
hab4,2014,7,3,2,75,1105,11,1,stsc,3,8,n/a,,midoli,midoli
hab4,2014,7,3,2,75,1105,11,1,bapi,3,5,n/a,,midoli,midoli
hab4,2014,7,3,2,75,1105,11,1,enso,3,2,n/a,,midoli,midoli
hab4,2014,7,3,2,75,1105,11,1,tisc,3,6,n/a,,midoli,midoli
hab4,2014,7,3,2,75,1105,11,1,crgu,3,1,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,shpe,2,90,50,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,bapi,3,18,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,snpr,3,11,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,stfl,3,1,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,enso,3,1,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,stsc,3,10,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,kepe,3,1,n/a,,midoli,midoli
hdo,2014,7,3,1,125,1220,11,1,crgu,3,2,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,shpe,2,11,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,crgu,3,1,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,bapi,3,30,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,thst,3,2,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,tube,1,3,n/a,,midoli,midoli
hdo,2014,7,3,2,105,1235,11,1,stsc,3,3,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,stfl,3,12,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,sand,1,141,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,sand,3,450,450,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,pasa,3,1,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,susm,3,4,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,stsc,3,4,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,saso,3,21,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,enso,3,5,n/a,,midoli,midoli
wfb,2014,7,9,1,150,445,22,1,sand,2,6,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,stsc,3,1,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,susm,3,7,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,chin,1,1,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,sand,2,1,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,sisc,3,1,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,saso,3,9,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,enso,3,29,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,sand,1,75,n/a,,midoli,midoli
wfb,2014,7,9,2,0,530,22,2,cqbr,1,1,n/a,,midoli,midoli
chp,2014,7,9,1,0,650,11,1,shpe,2,2,n/a,,midoli,midoli
chp,2014,7,9,1,0,650,11,1,sand,1,30,n/a,,midoli,midoli
chp,2014,7,9,1,0,650,11,1,busc,3,2,n/a,,midoli,midoli
