,site,year,month,day,replicate,species,stage,length,comments,entered,checked
79,wfb,2014,7,9,1,stfl,3,380,,midoli,midoli
80,wfb,2014,7,9,1,stfl,3,380,,midoli,midoli
81,wfb,2014,7,9,1,stfl,3,380,,midoli,midoli
82,koe1,2014,7,24,2,stfl,3,380,,midoli,ben
83,koe1,2014,7,24,2,stfl,3,380,,midoli,ben
84,koe1,2014,7,24,2,stfl,3,380,,midoli,ben
85,wfb,2015,5,2,2,stfl,2,380,,ben,ben
86,koe1,2015,6,1,2,dova,3,380,,midoli,ben
87,hdo,2015,7,29,1,snpr,3,380,,zach,ben
88,hdo,2017,7,10,1,snpr,3,380,,kdb,nap
89,koe1,2021,7,11,2,stfl,3,380,,CP,RO
90,ssp,2016,7,4,1,saso,3,375,,kaia,midoli
91,chp,2017,5,25,1,kegr,3,375,,gsb,kdb
92,gog1,2015,8,15,1,bapi,3,374,,zach,ben
93,koe1,2014,7,24,2,stfl,3,370,,midoli,ben
94,koe1,2014,7,24,2,stfl,3,370,,midoli,ben
95,ssp,2015,5,2,1,stfl,2,370,,ben,ben
96,ssp,2015,5,31,2,stfl,2,370,,zach,ben
97,pba,2015,7,30,2,snpr,3,370,,zach,ben
98,ssp,2016,8,2,2,stfl,3,366,,midoli,ben
99,nam1,2015,6,16,2,kegr,2,365,,zach,ben
100,ssp,2016,8,2,2,stfl,3,364,,midoli,ben
101,wfb,2014,7,9,1,stfl,3,360,,midoli,midoli
102,kis8,2015,5,23,1,grsc,3,360,,,zach
103,kis1,2015,6,17,2,kegr,2,360,,,ben
104,koe1,2015,7,31,2,stfl,3,360,,zach,kaia
105,pba,2015,9,12,2,pink,3,360,,zach,zach
106,pba,2016,7,3,1,snpr,3,360,,,midoli
107,pba,2016,9,18,1,snpr,3,360,,ben,
108,gog1,2018,7,14,1,bapi,3,359,,TF,
109,ppo,2014,9,10,1,snpr,3,355,,midoli,carolyn
110,hdo,2017,7,10,1,snpr,3,355,,kdb,nap
111,koe1,2021,7,11,2,stfl,3,355,,CP,RO
112,koe1,2014,6,15,2,stfl,3,354,,carolyn,midoli
113,koe1,2014,7,24,1,stfl,3,354,,midoli,ben
114,kis1,2015,6,17,2,bapi,2,354,,,ben
115,hdo,2017,7,10,1,snpr,3,353,,kdb,nap
116,kis10,2015,6,17,2,bapi,2,352,,,ben
117,pba,2016,9,18,1,snpr,3,352,,ben,
118,pba,2017,8,24,2,snpr,3,352,,kaia,bmm
119,koe1,2021,7,11,2,stfl,3,352,,CP,RO
120,koe1,2015,6,1,1,stfl,3,350,,midoli,ben
121,koe1,2015,6,1,2,dova,3,350,,midoli,ben
122,cas1,2015,6,15,2,stfl,2,350,,zach,ben
123,koe1,2015,9,13,2,stfl,3,350,,zach,zach
124,ssp,2017,6,13,2,stfl,3,350,,neha,
125,koe3,2017,7,27,1,stfl,3,350,,jg,jg
126,wfb,2018,7,12,1,stfl,3,350,,op,
127,fei4,2018,7,17,1,stpe,3,350,,CP,
128,fei4,2018,7,17,1,stpe,3,350,,CP,
129,koe1,2019,8,4,2,stfl,3,350,,TF,KB
130,koe1,2014,7,24,2,dova,3,348,,midoli,ben
131,hdo,2017,7,10,1,snpr,3,346,,kdb,nap
132,koe1,2014,7,24,2,dova,3,345,,midoli,ben
133,fan3,2018,7,15,2,bapi,3,345,,CP,
134,chp,2016,6,5,1,kegr,3,343,,midoli,midoli
135,fan3,2019,8,3,1,bapi,3,343,,KB,TF
136,pba,2016,7,3,1,snpr,3,342,,,midoli
137,pba,2016,7,3,1,snpr,3,342,,,midoli
138,koe1,2017,7,27,2,dova,3,342,,jg,jg
139,ssp,2021,7,9,1,bapi,3,342,,CP,RO
140,koe1,2014,7,24,2,stfl,3,340,,midoli,ben
141,koe1,2014,7,24,2,stfl,3,340,,midoli,ben
142,koe1,2014,7,24,2,stfl,3,340,,midoli,ben
143,ssp,2015,5,2,1,stfl,2,340,,ben,ben
144,koe1,2018,7,18,1,stfl,3,340,,KB,
145,koe3,2019,8,4,2,stfl,3,340,,TF,KB
146,koe1,2019,8,4,2,stfl,3,340,,TF,KB
147,gog4,2018,7,14,1,bapi,3,338,,TF,
148,fei5,2014,8,23,1,pegu,3,335,,carolyn,midoli
149,hdo,2015,7,29,1,snpr,3,335,,zach,ben
150,pba,2016,6,5,1,snpr,3,335,,midoli,midoli
151,pba,2016,9,18,1,snpr,3,335,,ben,
152,sni2,2017,7,23,2,pegu,3,335,,jg,kaia
153,ssp,2018,7,12,1,rogr,1,334,,zm,
154,wfb,2015,9,3,2,repe,3,333,,zach,zach
155,pba,2017,8,24,2,snpr,3,332,,kaia,bmm
156,koe1,2014,7,24,1,dova,3,330,,midoli,ben
157,ppo,2015,5,20,1,bapi,2,330,,midoli/zach,zach
158,kis8,2015,5,23,2,grsc,3,330,,,zach
159,pba,2015,7,2,1,snpr,3,330,,,ben
160,pba,2015,7,2,1,snpr,3,330,,,ben
161,chp,2016,4,8,1,kegr,3,330,,zach,midoli
162,pba,2016,9,18,1,snpr,3,330,,ben,
163,pba,2016,9,18,2,snpr,3,330,,ben,
164,pba,2016,9,18,2,snpr,3,330,,ben,
165,hdo,2017,7,10,1,snpr,3,330,,kdb,nap
166,koe1,2021,7,11,2,stfl,3,329,,CP,RO
167,gog1,2020,8,4,2,bapi,3,328,,AO,CP
168,koe1,2021,7,11,2,stfl,3,328,,CP,RO
169,pba,2016,7,3,1,snpr,3,327,,,midoli
170,pba,2016,6,5,1,snpr,3,326,,midoli,midoli
171,wfb,2016,8,2,1,stfl,3,326,,midoli,ben
172,pba,2017,5,24,1,snpr,3,326,,ang,kdb
173,koe1,2015,7,8,2,stfl,3,325,,ben,ben
174,kis1,2016,7,21,2,bapi,3,325,,kaia,midoli
175,ssp,2018,7,12,1,pegu,3,325,,zm,
176,chp,2018,8,25,1,bapi,3,324,,,
177,kis1,2015,6,17,2,kegr,2,323,,,ben
178,ssp,2015,7,1,1,bapi,3,323,,,ben
179,pba,2016,6,5,1,snpr,3,323,,midoli,midoli
180,wfb,2015,9,3,2,repe,3,322,,zach,zach
181,pba,2016,6,5,1,snpr,3,322,,midoli,midoli
182,gog1,2019,8,2,1,bapi,3,322,,TF,ZM
183,pba,2015,7,30,2,snpr,3,321,,zach,ben
184,wfb,2018,7,12,2,stfl,3,321,,op,
185,pba,2015,5,20,2,stfl,3,320,,zach,zach
186,kis10,2015,6,17,1,bapi,2,320,,,ben
187,gog3,2015,7,6,1,roso,2,320,,zach,ben
188,pba,2016,7,3,1,snpr,3,320,,,midoli
189,sni2,2016,7,20,1,pegu,3,320,,ben,midoli
190,pba,2017,8,24,2,snpr,3,320,,kaia,bmm
191,hdo,2018,7,11,1,snpr,3,320,,kb,
192,ssp,2016,8,2,1,bapi,3,319,,midoli,ben
193,fan3,2015,7,5,1,bapi,3,318,,ben,ben
194,chp,2016,7,2,1,pegu,3,318,,ben,midoli
195,pba,2016,9,18,1,snpr,3,317,,ben,
196,kis2,2017,7,24,2,bapi,3,317,,jg,kaia
197,koe1,2017,7,27,1,stfl,3,316,,jg,jg
198,ssp,2018,5,31,1,stfl,3,316,,,
199,koe2,2014,6,15,2,dova,3,315,,carolyn,midoli
200,sni3,2014,7,23,1,snpr,3,315,,carolyn,ben
201,gog3,2015,7,6,2,bapi,2,315,,zach,ben
202,fei3,2015,8,2,2,stfl,3,315,,,
203,pba,2016,6,5,1,snpr,3,315,,midoli,midoli
204,pba,2016,6,5,1,snpr,3,315,,midoli,midoli
205,pba,2016,7,3,1,snpr,3,315,,,midoli
206,pba,2016,9,18,1,snpr,3,315,,ben,
207,gog1,2018,7,14,1,bapi,3,315,,TF,
208,pba,2019,7,31,2,bapi,3,315,,TF,KB
209,gog1,2019,8,2,2,bapi,3,315,,TF,ZM
210,gog4,2015,8,15,2,saso,3,314,,zach,ben
211,chp,2016,6,5,1,kegr,3,312,,midoli,midoli
212,pba,2016,6,5,1,snpr,3,312,,midoli,midoli
213,pba,2016,11,17,2,bapi,3,312,,ben,
214,wfb,2018,3,21,1,stfl,3,312,,ben,
215,kis2,2021,7,12,2,bapi,3,312,,RO,KB
216,pba,2015,5,3,1,bapi,2,311,,ben,midoli
217,fei5,2014,8,23,2,pegu,3,310,,carolyn,midoli
218,pba,2015,7,2,1,snpr,3,310,,,ben
219,pba,2015,7,30,2,snpr,3,310,,zach,ben
220,pba,2016,7,3,1,snpr,3,310,,,midoli
221,pba,2017,4,1,1,bapi,3,310,,tyrel,tyrel
222,ssp,2017,5,26,1,pegu,3,310,,kdb,
223,pba,2016,6,5,1,snpr,3,309,,midoli,midoli
224,ppo,2017,7,9,1,bapi,3,309,,kdb,nap
225,hab2,2018,7,12,2,stfl,3,309,,op,
226,chp,2015,7,3,2,pegu,3,308,,ben,ben
227,pba,2016,7,3,1,snpr,3,308,,,midoli
228,pba,2019,7,31,2,bapi,3,308,,TF,KB
229,ssp,2015,7,1,1,bapi,3,307,,,ben
230,ssp,2016,5,8,1,pegu,3,307,,zach,kaia
231,pba,2016,6,5,1,snpr,3,307,,midoli,midoli
232,hdo,2014,8,21,1,snpr,3,306,,midoli,b
233,sni4,2014,8,22,2,bapi,2,306,,midoli,carolyn
234,hdo,2015,7,29,1,snpr,3,306,,zach,ben
235,hdo,2016,8,4,1,stsc,3,306,,kaia,midoli
236,kis2,2017,7,24,2,bapi,3,306,,jg,kaia
237,fan3,2018,7,15,2,bapi,3,306,,CP,
238,fei5,2014,8,23,1,bapi,2,305,,carolyn,midoli
239,hdo,2015,7,29,1,snpr,3,305,,zach,ben
240,gog4,2016,7,22,1,bapi,3,305,,gillian,midoli
241,hdo,2016,8,4,1,stsc,3,305,,kaia,midoli
242,gog1,2017,7,26,1,bapi,3,305,,jg,jg
243,gog1,2018,7,14,1,bapi,3,305,,TF,
244,gog1,2020,8,4,2,bapi,3,305,,AO,CP
245,hdo,2014,8,21,1,snpr,3,304,,midoli,b
246,hdo,2014,9,7,1,bapi,2,304,,carolyn,midoli
247,wfb,2015,9,3,2,repe,3,304,,zach,zach
248,fan3,2018,7,15,2,bapi,3,304,,CP,
249,ssp,2017,5,26,1,bapi,3,302,,kdb,
250,fan3,2018,7,15,2,bapi,3,302,,CP,
251,fan1,2021,7,14,1,bapi,2,302,,RO,CP
252,pba,2015,9,12,1,snpr,3,301,,zach,zach
253,pba,2016,7,3,1,snpr,3,301,,,midoli
254,kis3,2014,7,12,2,snpr,3,300,,midoli,ben
255,koe1,2014,7,24,2,dova,3,300,,midoli,ben
256,koe1,2014,7,24,2,dova,3,300,,midoli,ben
257,gog1,2014,7,26,1,bapi,3,300,,midoli/carolyn,ben
258,hdo,2014,8,21,1,enso,3,300,,midoli,b
259,nam1,2015,6,16,1,pegu,2,300,,zach,ben
260,nam1,2015,6,16,1,pegu,2,300,,zach,ben
261,pba,2015,9,12,1,stsc,3,300,,zach,zach
262,pba,2016,8,4,1,bapi,2,300,,kaia,midoli
263,ssp,2017,6,13,1,stfl,3,300,,neha,
264,ssp,2017,7,8,2,stsc,3,300,,nap,nap
265,pba,2019,7,31,2,bapi,3,300,,TF,KB
266,ssp,2021,7,9,2,stfl,3,300,,RO,RO
267,pba,2015,9,12,1,snpr,3,299,,zach,zach
268,gog1,2017,7,26,1,bapi,3,299,,jg,jg
269,fan3,2017,7,28,1,bapi,3,299,,jg,kaia
270,fei4,2018,7,17,2,bapi,3,299,,CP,
271,fei4,2018,7,17,2,stfl,2,299,,TF,
272,fan1,2021,7,14,1,bapi,2,299,,RO,CP
273,kis4,2014,7,12,1,bapi,3,298,,midoli,ben
274,pba,2015,9,12,2,snpr,2,298,,zach,zach
275,pba,2015,9,12,2,snpr,2,298,,zach,zach
276,hdo,2016,9,19,2,snpr,3,298,,ang,
277,pba,2016,11,17,2,bapi,3,298,,ben,
278,fan3,2018,7,15,2,bapi,3,298,,CP,
279,koe1,2014,6,15,1,dova,3,297,,carolyn,midoli
280,ppo,2014,9,10,1,bapi,2,297,,midoli,carolyn
281,koe1,2015,7,31,2,bapi,3,297,,zach,kaia
282,pba,2017,6,11,2,bapi,3,297,,tyrel,
283,pba,2015,7,30,2,bapi,3,296,,zach,ben
284,gog1,2015,8,15,1,bapi,3,296,,zach,ben
285,ssp,2016,5,8,1,bapi,3,296,,zach,kaia
286,pba,2016,9,18,1,snpr,3,296,,ben,
287,pba,2016,9,18,2,snpr,3,296,,ben,
288,fan3,2017,7,28,1,bapi,3,296,,jg,kaia
289,pba,2014,9,8,1,bapi,2,295,,carolyn,midoli
290,kis7,2015,5,23,2,snpr,3,295,,,zach
291,nam2,2015,6,16,1,coso,3,295,,zach,ben
292,fan3,2015,7,5,1,bapi,3,295,,ben,ben
293,fei13,2015,8,12,1,pegu,3,295,,ben,zach
294,pba,2016,6,5,1,snpr,3,295,,midoli,midoli
295,pba,2016,7,3,1,snpr,3,295,,,midoli
296,pba,2016,7,3,1,snpr,3,295,,,midoli
297,koe1,2017,7,27,1,stfl,3,295,,jg,jg
298,ssp,2019,7,30,2,stfl,3,295,,KB,TF
299,fan3,2014,7,27,2,bapi,3,294,,midoli/carolyn,ben
300,ssp,2015,7,28,1,roso,3,294,,ben,zach
301,ssp,2016,5,8,1,bapi,3,294,,zach,kaia
302,pba,2016,6,5,1,snpr,3,294,,midoli,midoli
303,pba,2016,6,5,1,snpr,3,294,,midoli,midoli
304,gog3,2015,7,6,1,saso,3,293,,zach,ben
305,pba,2015,9,12,1,snpr,3,293,,zach,zach
306,pba,2017,5,24,1,snpr,3,293,,ang,kdb
307,hdo,2017,5,25,1,bapi,3,293,,gsb,kdb
308,fan3,2018,7,15,2,bapi,3,293,,CP,
309,sni1,2018,7,16,1,snpr,3,293,,CP,
310,fan1,2021,7,14,1,bapi,2,293,,RO,CP
311,fan3,2014,7,27,2,bapi,3,292,,midoli/carolyn,ben
312,hdo,2014,8,21,1,snpr,3,292,,midoli,b
313,hdo,2015,7,29,1,snpr,3,292,,zach,ben
314,ppo,2015,9,2,2,bapi,3,292,,ben,zach
315,ssp,2016,7,4,1,pegu,3,292,,kaia,midoli
316,ssp,2016,8,2,2,stfl,3,292,,midoli,ben
317,hdo,2017,7,10,1,snpr,3,292,,kdb,nap
318,pba,2017,8,24,1,snpr,3,292,,kaia,bmm
319,hab130,2018,7,11,2,bapi,3,292,,TF,
320,pba,2014,8,13,1,bapi,3,291,,midoli,carolyn
321,ppo,2015,9,2,1,bapi,3,291,,ben,zach
322,fei4,2018,7,17,2,coso,3,291,,CP,
323,koe1,2020,7,23,2,stfl,3,291,,ZM,
324,hdo,2021,7,8,2,pegu,3,291,,CP,RO
325,chp,2021,7,8,2,pegu,3,291,,ZM,RO
326,wfb,2014,7,9,1,stfl,3,290,,midoli,midoli
327,sni1,2014,7,14,1,bapi,3,290,,midoli,ben
328,koe1,2014,7,24,2,stfl,3,290,,midoli,ben
329,kis6,2014,7,28,1,kegr,3,290,,,ben
330,pba,2015,7,2,1,snpr,3,290,,,ben
331,fan3,2015,7,5,1,bapi,3,290,,ben,ben
332,hdo,2015,7,29,1,snpr,3,290,,zach,ben
333,pba,2015,7,30,2,bapi,3,290,,zach,ben
334,koe1,2015,9,13,1,stfl,3,290,,zach,zach
335,pba,2016,6,5,1,snpr,3,290,,midoli,midoli
336,pba,2016,9,18,1,stsc,3,290,,ben,
337,pba,2016,9,18,2,snpr,3,290,,ben,
338,wfb,2017,6,13,2,repe,3,290,,neha,
339,fei3,2017,7,22,1,pipe,3,290,,jg,kaia
340,koe3,2017,7,27,1,stfl,3,290,,jg,jg
341,hab2,2018,7,12,1,repe,3,290,,op,
342,ppo,2018,8,23,2,bapi,3,290,,,
343,chp,2019,7,29,1,stpe,2,290,,TF,ZM
344,koe1,2020,7,23,2,stfl,3,290,,ZM,
345,koe2,2014,6,15,2,dova,3,289,,carolyn,midoli
346,pba,2017,5,24,1,snpr,3,289,,ang,kdb
347,fan3,2018,7,15,2,bapi,3,289,,CP,
348,koe3,2019,8,4,2,stfl,3,289,,TF,KB
349,pba,2015,7,2,1,snpr,3,288,,,ben
350,wfb,2017,6,13,2,repe,3,288,,neha,
351,ssp,2018,5,31,2,stfl,3,288,,,
352,gog1,2018,7,14,1,bapi,3,288,,TF,
353,koe1,2020,7,23,2,stfl,3,288,,ZM,
354,rie2,2014,9,12,2,stfl,2,287,,midoli,carolyn
355,pba,2015,7,2,1,snpr,3,287,,,ben
356,pba,2015,7,2,1,snpr,3,287,,,ben
357,pba,2017,7,9,1,snpr,3,287,,kdb,nap
358,koe1,2014,9,7,2,stfl,3,286,,carolyn,midoli
359,ppo,2015,5,20,1,bapi,2,286,,midoli/zach,zach
360,pba,2015,7,30,1,snpr,3,286,,zach,ben
361,ssp,2018,3,21,1,stfl,3,286,,ben,
362,fan3,2018,7,15,2,bapi,3,286,,CP,
363,pba,2019,7,31,2,bapi,3,286,,TF,KB
364,ppo,2020,7,21,1,stsc,3,286,,AO,
365,kis4,2014,7,12,1,bapi,3,285,,midoli,ben
366,sni3,2014,7,23,1,bapi,3,285,,carolyn,ben
367,pba,2015,5,20,1,snpr,3,285,,midoli/zach,zach
368,kis8,2015,5,23,2,snpr,3,285,,,zach
369,chp,2016,6,5,1,kegr,3,285,,midoli,midoli
370,pba,2016,6,5,1,stsc,3,285,,midoli,midoli
371,chp,2016,7,2,1,pegu,3,285,,ben,midoli
372,pba,2016,7,3,1,snpr,3,285,,,midoli
373,pba,2016,9,18,1,bapi,3,285,,ben,
374,pba,2016,9,18,2,snpr,3,285,,ben,
375,gog1,2018,7,14,2,bapi,3,285,,TF,
376,ppo,2018,8,23,2,bapi,3,285,,,
377,fan3,2019,8,3,1,bapi,3,285,,KB,TF
378,pba,2017,7,9,2,bapi,3,284,,kdb,nap
379,pba,2019,7,31,2,stsc,3,284,,TF,KB
380,fan1,2021,7,14,1,bapi,2,284,,RO,CP
381,pba,2019,7,31,2,bapi,3,283,,TF,KB
382,hdo,2014,7,3,1,snpr,3,282,,midoli,midoli
383,hdo,2015,7,29,1,snpr,3,282,,zach,ben
384,pba,2015,7,30,2,stsc,3,282,"IF LARGE AMOUNT OF FRESH FISH IN DIET, MAY BE DUE TO OVERLY CROWDED BUCKET",zach,ben
385,pba,2015,9,12,1,snpr,3,282,,zach,zach
386,ppo,2016,7,3,1,bapi,3,282,,kaia,midoli
387,pba,2017,5,24,1,snpr,3,282,,ang,kdb
388,pba,2017,6,11,2,bapi,3,282,,tyrel,
389,koe1,2017,7,27,1,stfl,3,282,,jg,jg
390,ppo,2019,7,31,1,bapi,3,282,,TF,KB
391,hab2,2014,6,14,3,pegu,3,281,,carolyn,midoli
392,fan3,2014,7,27,1,bapi,3,281,,midoli/carolyn,ben
393,hdo,2015,7,29,1,snpr,3,281,,zach,ben
394,pba,2015,7,30,2,snpr,3,281,,zach,ben
395,ssp,2016,7,4,1,stsc,3,281,,kaia,midoli
396,pba,2017,5,24,1,snpr,3,281,,ang,kdb
397,wfb,2017,6,13,2,repe,3,281,,neha,
398,fan3,2018,7,15,2,stsc,3,281,,CP,
399,koe1,2014,7,24,1,dova,3,280,,midoli,ben
400,kis6,2014,7,28,1,bapi,2,280,,,ben
401,hdo,2014,7,31,2,snpr,3,280,,midoli,midoli
402,pba,2014,8,13,1,snpr,3,280,,midoli,carolyn
403,fei3,2014,8,15,2,bapi,2,280,,carolyn,m
404,hdo,2014,8,21,1,snpr,3,280,,midoli,b
405,pba,2015,5,20,2,stfl,3,280,,zach,zach
406,hab6,2015,6,19,1,stfl,3,280,,,ben
407,chp,2015,7,3,1,pegu,3,280,,ben,ben
408,ssp,2016,5,8,1,bapi,3,280,,zach,kaia
409,pba,2016,7,3,1,snpr,3,280,,,midoli
410,chp,2016,8,3,1,kegr,3,280,,midoli,ben
411,pba,2017,5,24,2,bapi,3,280,,ang,kdb
412,koe1,2014,6,15,2,stfl,3,279,,carolyn,midoli
413,kis5,2014,7,28,1,grsc,3,279,,midoli/carolyn,ben
414,fan3,2015,7,5,1,bapi,3,279,,ben,ben
415,pba,2015,9,12,1,snpr,3,279,,zach,zach
416,fei4,2018,7,17,2,bapi,3,279,,CP,
417,pba,2021,7,10,2,stsc,2,279,,ZM,RO
418,fan1,2021,7,14,1,bapi,2,279,,RO,CP
419,fei13,2015,8,12,1,pegu,3,278,,ben,zach
420,hdo,2016,8,4,1,snpr,3,278,,kaia,midoli
421,fan1,2021,7,14,1,bapi,2,278,,RO,CP
422,pba,2014,8,13,1,bapi,3,277,,midoli,carolyn
423,pba,2015,7,2,1,snpr,3,277,,,ben
424,pba,2016,6,5,1,snpr,3,277,,midoli,midoli
425,pba,2016,7,3,1,snpr,3,277,,,midoli
426,kis2,2017,7,24,2,bapi,3,277,,jg,kaia
427,koe1,2019,8,4,1,stfl,3,277,,KB,KB
428,ppo,2020,7,21,1,stsc,3,277,,AO,
429,hdo,2014,8,21,1,bapi,2,276,,midoli,b
430,pba,2016,6,5,1,snpr,3,276,,midoli,midoli
431,ppo,2018,7,11,1,bapi,3,276,,cp,
432,fan3,2018,7,15,2,bapi,3,276,,CP,
433,ppo,2021,7,10,1,bapi,3,276,,CP,RO
434,fan1,2021,7,14,1,bapi,2,276,,RO,CP
435,koe2,2014,6,15,2,dova,3,275,,carolyn,midoli
436,koe2,2014,6,15,2,dova,3,275,,carolyn,midoli
437,kis3,2014,7,12,2,snpr,3,275,,midoli,ben
438,koe1,2014,7,24,1,dova,3,275,,midoli,ben
439,koe1,2014,7,24,2,dova,3,275,,midoli,ben
440,sni4,2014,8,22,2,bapi,2,275,,midoli,carolyn
441,fei5,2014,8,23,2,pegu,3,275,,carolyn,midoli
442,chp,2015,6,2,1,pegu,3,275,,ben,midoli
443,pba,2015,7,2,2,stsc,3,275,,,ben
444,hdo,2015,7,29,1,snpr,3,275,,zach,ben
445,fei4,2015,8,2,1,snpr,3,275,,,
446,ssp,2015,9,3,2,stsc,3,275,,zach,zach
447,chp,2016,4,8,1,kegr,3,275,,zach,midoli
448,wfb,2016,6,6,2,roso,3,275,,midoli,kaia
449,chp,2016,7,2,2,kegr,3,275,,ben,midoli
450,pba,2016,7,3,1,snpr,3,275,,,midoli
451,fan3,2016,7,24,2,bapi,3,275,,kaia,midoli
452,ppo,2016,9,18,2,snpr,3,275,,ben,
453,fei3,2017,7,22,2,bapi,3,275,,jg,kaia
454,fei3,2017,7,22,2,snpr,3,275,,jg,kaia
455,ssp,2017,8,25,2,stfl,3,275,,ben,bmm
456,chp,2018,8,25,1,reil,3,275,,,
457,pba,2019,7,31,1,stsc,3,275,,TF,KB
458,koe1,2019,8,4,2,stsc,3,275,,TF,KB
459,fan1,2021,7,14,1,bapi,2,275,,RO,CP
460,fei3,2014,8,15,1,snpr,3,274,,carolyn,m
461,ppo,2014,9,10,1,bapi,2,274,,midoli,carolyn
462,ppo,2014,9,10,2,snpr,3,274,,midoli,carolyn
463,koe1,2015,7,8,2,stfl,3,274,,ben,ben
464,koe1,2015,9,13,1,stfl,3,274,,zach,zach
465,hab4,2017,7,20,1,dova,3,274,,jg,kaia
466,pba,2015,7,2,1,snpr,3,273,,,ben
