fid,Ownership,Program,Project Name,Site Name,GPS Level,Point Name,Ocean Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,End Transect Decimal Lat,End Transect Decimal Lon,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41
418,Hakai,Nearshore,EDNA,HDO,plot,edna_hdo_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.3007362,128 7.77565200000083,51.65501227,-128.1295942,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
419,Hakai,Nearshore,EDNA,HDO,plot,edna_hdo_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.3051366,128 7.76382600000034,51.65508561,-128.1293971,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
420,Hakai,Nearshore,EDNA,HDO,plot,edna_hdo_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.3080759999998,128 7.7557500000006,51.6551346,-128.1292625,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
421,Hakai,Nearshore,EDNA,GOG1,plot,edna_gog1_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 55.4346455999999,128 28.1502360000007,51.92391076,-128.4691706,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
422,Hakai,Nearshore,EDNA,GOG1,plot,edna_gog1_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 55.4415198,128 28.1463179999997,51.92402533,-128.4691053,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
423,Hakai,Nearshore,EDNA,GOG1,plot,edna_gog1_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 55.4456292000002,128 28.1421539999997,51.92409382,-128.4690359,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
424,Hakai,Nearshore,EDNA,GOG4,plot,edna_gog4_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 54.1951127999999,128 26.3440259999993,51.90325188,-128.4390671,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
425,Hakai,Nearshore,EDNA,GOG4,plot,edna_gog4_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 54.1913790000001,128 26.332152,51.90318965,-128.4388692,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
426,Hakai,Nearshore,EDNA,GOG4,plot,edna_gog4_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 54.1872474000002,128 26.3193660000002,51.90312079,-128.4386561,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
427,Hakai,Nearshore,EDNA,KIS2,plot,edna_kis2_00,NA,cobble,benthic macroalgae,unknown,active,yes,51 50.2031837999999,128 14.3842199999995,51.83671973,-128.239737,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
428,Hakai,Nearshore,EDNA,KIS2,plot,edna_kis2_15,NA,cobble,benthic macroalgae,unknown,active,yes,51 50.2023491999999,128 14.3733480000003,51.83670582,-128.2395558,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
429,Hakai,Nearshore,EDNA,KIS2,plot,edna_kis2_30,NA,cobble,benthic macroalgae,unknown,active,yes,51 50.2014989999999,128 14.3633399999993,51.83669165,-128.239389,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
430,Hakai,Nearshore,EDNA,KIS1,plot,edna_kis1_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.6625566000001,128 13.7507039999997,51.81104261,-128.2291784,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
431,Hakai,Nearshore,EDNA,KIS1,plot,edna_kis1_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.6687119999999,128 13.7587739999998,51.8111452,-128.2293129,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
432,Hakai,Nearshore,EDNA,KIS1,plot,edna_kis1_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.6699924000001,128 13.7718300000006,51.81116654,-128.2295305,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
433,Hakai,Nearshore,EDNA,HAB2,plot,edna_hab2_00,NA,sand,no vegetation,,active,yes,51 39.8255447999999,128 8.58656399999916,51.66375908,-128.1431094,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
434,Hakai,Nearshore,EDNA,HAB2,plot,edna_hab2_15,NA,sand,no vegetation,,active,yes,51 39.8266157999998,128 8.59925399999952,51.66377693,-128.1433209,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
435,Hakai,Nearshore,EDNA,HAB2,plot,edna_hab2_30,NA,sand,no vegetation,,active,yes,51 39.8277245999999,128 8.61108000000002,51.66379541,-128.143518,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
454,Hakai,Nearshore,EDNA,SNI1,plot,edna_sni1_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 50.3207574000001,128 3.55276199999935,51.83867929,-128.0592127,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
455,Hakai,Nearshore,EDNA,SNI1,plot,edna_sni1_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 50.3201315999999,128 3.56650800000011,51.83866886,-128.0594418,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
456,Hakai,Nearshore,EDNA,SNI1,plot,edna_sni1_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 50.3203302000001,128 3.58307400000058,51.83867217,-128.0597179,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
457,Hakai,Nearshore,EDNA,SNI2,plot,edna_sni2_15,NA,cobble,benthic macroalgae,unknown,active,yes,51 49.0417914000001,128 1.79836799999975,51.81736319,-128.0299728,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
458,Hakai,Nearshore,EDNA,SNI2,plot,edna_sni2_30,NA,cobble,benthic macroalgae,unknown,active,yes,51 49.0395209999998,128 1.78380599999969,51.81732535,-128.0297301,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
459,Hakai,Nearshore,EDNA,SNI2,plot,edna_sni2_00,NA,cobble,benthic macroalgae,unknown,active,yes,51 49.0441680000002,128 1.81339799999932,51.8174028,-128.0302233,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
460,Hakai,Nearshore,EDNA,KOE3,plot,edna_koe3_00,NA,sand,benthic macroalgae,Nereocystis luetkeana,active,yes,51 46.5535332000002,127 52.7655299999998,51.77589222,-127.8794255,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
461,Hakai,Nearshore,EDNA,KOE3,plot,edna_koe3_15,NA,sand,benthic macroalgae,Nereocystis luetkeana,active,yes,51 46.5529122,127 52.7454539999997,51.77588187,-127.8790909,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
462,Hakai,Nearshore,EDNA,KOE3,plot,edna_koe3_30,NA,sand,benthic macroalgae,Nereocystis luetkeana,active,yes,51 46.5480209999998,127 52.7300460000004,51.77580035,-127.8788341,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
463,Hakai,Nearshore,EDNA,KOE1,plot,edna_koe1_00,NA,sand,no vegetation,,active,yes,51 46.3725066000001,127 52.5468659999999,51.77287511,-127.8757811,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
464,Hakai,Nearshore,EDNA,KOE1,plot,edna_koe1_15,NA,sand,no vegetation,,active,yes,51 46.3549295999999,127 52.5539520000004,51.77258216,-127.8758992,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
465,Hakai,Nearshore,EDNA,KOE1,plot,edna_koe1_30,NA,sand,no vegetation,,active,yes,51 46.3385526000002,127 52.5665999999998,51.77230921,-127.87611,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
